Dataset,Row,Col,Accuracy_A,Accuracy_B,Accuracy_D,Loss_A,Loss_B,Loss_D,Validation_Accuracy_A,Validation_Accuracy_B,Validation_Accuracy_D,Validation_Loss_A,Validation_Loss_B,Validation_Loss_D,Delta_Training_Accuracy,Delta_Validation_Accuracy,Delta_Training_Loss,Delta_Validation_Loss,Training_Accuracy_Win_Count,Training_Accuracy_Lose_Count,Training_Accuracy_Same_Count,Count,Training_Loss_Win_Count,Training_Loss_Lose_Count,Greater,Validation_Accuracy_Win_Count,Validation_Accuracy_Lose_Count,Validation_Accuracy_Same_Count,Validation_Loss_Win_Count,Validation_Loss_Lose_Count,ARI
fri_c4_100_25.csv,100,25,0.756944444,0.827777778,0.713888889,0.51408217,0.44703123,0.567490657,0.655555556,0.661111111,0.65,0.621071812,0.605998341,0.619979342,Decreased,Decreased,Increased,Increased,0,9,0,9,0,9,FALSE,3,5,1,4,5,0
fri_c4_100_50.csv,100,50,0.632142857,0.751785714,0.617857143,0.640254736,0.572392975,0.642684528,0.507142857,0.55,0.521428571,0.714328621,0.712261268,0.872807588,Decreased,Decreased,Increased,Increased,0,7,0,7,0,7,FALSE,2,4,1,2,5,0
fri_c4_250_25.csv,250,25,0.686,0.722,0.667,0.621075654,0.586310542,0.613007832,0.588,0.592,0.556,0.673957777,0.671785247,0.685099316,Decreased,Decreased,Increased,Increased,1,4,0,5,2,3,FALSE,1,2,2,1,4,0
fri_c4_250_50.csv,250,50,0.6075,0.7375,0.68,0.663845837,0.593693793,0.627859637,0.485,0.495,0.495,0.720932931,0.730492219,0.722646102,Decreased,Same,Increased,Decreased,0,4,0,4,0,4,FALSE,3,1,0,2,2,0
fruitfly.csv,125,4,0.553333333,0.6,0.581111111,0.68725582,0.667296304,0.679779636,0.586666667,0.6,0.591111111,0.679015206,0.667719927,0.680545628,Decreased,Decreased,Increased,Increased,1,5,3,9,3,6,FALSE,5,4,0,3,6,0
grub-damage.csv,155,8,0.751344086,0.771505376,0.724462366,0.509785841,0.492007131,3.488440985,0.73655914,0.752688172,0.790322581,0.517875314,0.51494286,2.034198334,Decreased,Increased,Increased,Increased,1,4,1,6,2,4,FALSE,5,1,0,2,4,0
haberman.csv,306,3,0.749590164,0.747131148,0.747540984,0.534852785,0.529009444,0.543417418,0.741935484,0.740322581,0.741935484,0.546723887,0.544544908,0.550162163,Increased,Increased,Increased,Increased,5,5,0,10,1,9,FALSE,2,2,6,4,6,0
heart_c.csv,303,13,0.869834711,0.872589532,0.86707989,0.342297633,0.330023795,0.331534266,0.830601093,0.838797814,0.816939891,0.40572678,0.405452172,0.423761432,Decreased,Decreased,Increased,Increased,2,3,1,6,3,3,FALSE,0,5,1,2,4,0
heart_h.csv,294,13,0.853191489,0.858865248,0.84893617,0.362917503,0.346710369,0.382320791,0.822033898,0.824858757,0.810734463,0.443903123,0.439138412,0.484133293,Decreased,Decreased,Increased,Increased,2,4,0,6,1,5,FALSE,2,4,0,2,4,0
heart_statlog.csv,270,13,0.885582011,0.886243386,0.87037037,0.325917627,0.30178162,0.332772085,0.806878307,0.806878307,0.822751323,0.422921981,0.419731928,0.4196933,Decreased,Increased,Increased,Decreased,0,6,1,7,0,7,FALSE,4,1,2,2,5,0
humandevel.csv,130,1,0.850961538,0.866987179,0.857371795,0.350932151,0.300540095,0.355590706,0.852564103,0.916666667,0.878205128,0.340380559,0.275619884,0.341946522,Decreased,Decreased,Increased,Increased,2,3,1,6,2,4,FALSE,1,4,1,2,4,0
ionosphere.csv,351,34,0.965178571,0.969196429,0.951339286,0.152513597,0.119211742,0.157064365,0.889084507,0.896126761,0.88556338,0.293352986,0.295475921,0.332080452,Decreased,Decreased,Increased,Increased,2,6,0,8,1,7,FALSE,3,5,0,3,5,0
iris.csv,150,4,1,1,0.994791667,0.009317521,0.000505795,0.045452661,1,1,1,0.008819372,0.000469967,0.042960796,Decreased,Same,Increased,Increased,0,5,3,8,0,8,FALSE,0,0,8,0,8,0
kc1-binary.csv,145,94,0.90270936,0.913793103,0.833743842,0.358178164,0.304172695,0.412906353,0.719211823,0.724137931,0.748768473,0.519189554,0.526955958,0.562543269,Decreased,Increased,Increased,Increased,2,5,0,7,1,6,FALSE,4,3,0,4,3,0
