Dataset,Training_Type,CMC_Label,Training+CMC,S3_Val_mean,Standalone,S1_Val_mean,Delta,Delta_Val
SVHN,SAM,Any_10,95.39797172710512,94.61242691056356,95.41845933210409,94.4713671421746,-0.020487604998976394,0.14105976838895629
SVHN,SAM,Correct_1,95.03047531243597,94.4076627306441,95.41845933210409,94.4713671421746,-0.38798401966812435,-0.06370441153049455
SVHN,SAM,Correct_10,95.26096086867445,94.6215275407822,95.41845933210409,94.4713671421746,-0.15749846342964702,0.15016039860759633
USPS,AWP,Any_1,97.080219234,99.46502057800001,97.16705815428573,99.40721144642858,-0.0868389202857287,0.05780913157143175
USPS,AWP,Any_10,97.14333167333332,99.35985368,97.16705815428573,99.40721144642858,-0.023726480952404927,-0.04735776642857559
USPS,AWP,Correct_1,97.09350606333334,99.40557842,97.16705815428573,99.40721144642858,-0.0735520909523899,-0.0016330264285784324
USPS,AWP,Correct_10,97.25959143,99.45130315666665,97.16705815428573,99.40721144642858,0.09253327571427405,0.04409171023807801
USPS,ERM,Any_1,97.279521674,99.39643347,96.950672648,99.122085048,0.3288490260000003,0.27434842200000276
USPS,ERM,Any_10,96.860986548,99.314128944,96.950672648,99.122085048,-0.08968609999999444,0.19204389600000127
USPS,ERM,Correct_1,97.269556552,99.355281208,96.950672648,99.122085048,0.3188839040000033,0.23319615999999144
USPS,ERM,Correct_10,97.080219234,99.163237312,96.950672648,99.122085048,0.12954658600000357,0.04115226400000438
USPS,RWP,Any_1,96.79455240333334,99.10836762666666,96.78209599761834,99.12551440411978,0.012456405714999619,-0.017146777453120876
USPS,RWP,Any_10,97.04368045175221,99.51989026063102,96.78209599761834,99.12551440411978,0.26158445413386744,0.39437585651123186
USPS,RWP,Correct_1,96.94402923333332,99.40557841666667,96.78209599761834,99.12551440411978,0.16193323571498297,0.2800640125468874
USPS,RWP,Correct_10,96.91081215744894,99.31412894375858,96.78209599761834,99.12551440411978,0.1287161598306028,0.1886145396387917
USPS,SAM,Any_1,97.09350606211592,99.24554183813443,96.96063776781266,99.22267946959306,0.13286829430326463,0.022862368541368028
USPS,SAM,Any_10,97.25959142999501,99.2912665752172,96.96063776781266,99.22267946959306,0.2989536621823561,0.0685871056241325
USPS,SAM,Correct_1,96.99385484138848,99.15409236396891,96.96063776781266,99.22267946959306,0.033217073575826817,-0.06858710562414672
USPS,SAM,Correct_10,97.02707191496428,99.35985368084134,96.96063776781266,99.22267946959306,0.06643414715162521,0.13717421124827922
office31,AWP,Any_1,77.26465364,76.400000002,76.50573227818182,75.77777777909091,0.7589213618181816,0.6222222229090875
office31,AWP,Any_10,79.2776791,77.62962963,76.50573227818182,75.77777777909091,2.771946821818176,1.8518518509090853
office31,AWP,Correct_1,77.56068679666667,77.70370370333333,76.50573227818182,75.77777777909091,1.0549545184848483,1.9259259242424207
office31,ERM,Any_1,77.371225578,75.02222222200001,75.595026642,74.444444446,1.7761989360000001,0.5777777760000049
office31,ERM,Any_10,77.442273534,75.155555554,75.595026642,74.444444446,1.8472468920000011,0.7111111079999972
office31,ERM,Correct_1,77.3357016,74.93333333400001,75.595026642,74.444444446,1.7406749579999996,0.4888888880000053
office31,RWP,Any_1,77.38306690413854,76.07407407481482,76.05683836605506,75.17777777766666,1.326228538083484,0.8962962971481545
office31,RWP,Any_10,75.72528123149793,75.55555555555556,76.05683836605506,75.17777777766666,-0.33155713455713,0.37777777788889466
office31,RWP,Correct_1,75.84369449357017,75.92592592592592,76.05683836605506,75.17777777766666,-0.21314387248489197,0.7481481482592613
office31,RWP,Correct_10,76.73179396092362,74.66666666666667,76.05683836605506,75.17777777766666,0.6749555948685639,-0.5111111109999911
office31,SAM,Any_1,78.3303730017762,77.85185185185185,78.92782173421605,78.58585858585859,-0.5974487324398581,-0.7340067340067407
office31,SAM,Any_10,78.8040260509177,78.14814814814815,78.92782173421605,78.58585858585859,-0.12379568329835422,-0.43771043771043594
office31,SAM,Correct_1,79.81053878034339,78.5925925925926,78.92782173421605,78.58585858585859,0.8827170461273397,0.006734006734006925
office31,SAM,Correct_10,80.8170515097691,80.22222222222223,78.92782173421605,78.58585858585859,1.8892297755530478,1.6363636363636402
