Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
Food101,MisCls_Any,5,0,0.1302354006268777,0.0,0.1302354006268777,1000,10,78.31666666666666,59.599999999999994,20
Food101,MisCls_Correct,1,0,0.009132793431382846,0.0,0.009132793431382848,1000,1,81.38333333333333,63.6,1
Food101,MisCls_Correct,2,0,0.1457559372072431,0.0,0.14575593720724309,1000,1,96.48333333333333,68.66666666666667,2
Food101,MisCls_Correct,3,0,0.004162091767825117,0.0,0.004162091767825117,1000,1,65.51666666666667,53.800000000000004,1
Food101,MisCls_Correct,4,0,0.012817650272775469,0.0,0.012817650272775467,1000,1,86.2,65.53333333333333,2
Food101,MisCls_Correct,5,0,0.0,0.0008852796109657393,0.0008852796109657385,1000,1,78.38333333333334,59.599999999999994,1
EMNIST,MisCls_Correct,1,0,0.009436650613494666,0.0,0.009436650613494661,1000,1,0.07411858974358974,0.16025641025641024,7
EMNIST,MisCls_Correct,2,0,0.01750375129860968,0.0,0.017503751298609673,1000,1,0.10516826923076923,0.23237179487179488,9
EMNIST,MisCls_Correct,3,0,0.48348389160830263,0.0,0.48348389160830263,1000,1,0.22135416666666666,0.29246794871794873,198
EMNIST,MisCls_Correct,4,0,0.1300641325797436,0.0,0.13006413257974356,1000,1,0.10416666666666667,0.15625,33
MNIST,MisCls_Correct,1,0,0.10058460738670988,0.0,0.10058460738670988,1000,10,97.56041666666667,96.975,210
MNIST,MisCls_Correct,2,0,0.39109091156239173,0.0,0.39109091156239173,1000,10,97.85000000000001,97.5,239
MNIST,MisCls_Correct,3,0,0.29238257367929954,0.0,0.2923825736792996,1000,10,97.99791666666667,97.625,282
MNIST,MisCls_Correct,4,0,0.21291414870605788,0.0,0.21291414870605788,1000,10,97.38333333333333,96.73333333333333,490
MNIST,MisCls_Correct,5,0,0.18239292503704402,0.0,0.18239292503704402,1000,10,97.57291666666667,97.30833333333334,273
