Dataset,Run,Training_Type,Method,CMC_Type,Misclassification_Count,Gurobi_Samples,Stage,Checkpoint,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc
CIFAR10,3,AWP,CMC,Any,1,500,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N500/Run3_full_checkpoint.pth,0.1948423786878586,94.7025,0.2746808610439301,91.55,0.29035126073360445,90.43
CIFAR10,3,AWP,CMC,Any,1,500,Model_init,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint.pth,0.19708024320602416,94.5975,0.2746295466423035,91.43,0.28566463694572447,90.85
CIFAR10,3,AWP,CMC,Any,1,500,Model_init_50,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint_50.pth,0.03773652576208115,99.4,0.14725361995697023,95.19,0.15051676810979844,95.07
CIFAR10,3,AWP,CMC,Any,1,500,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N500/Run3_full_checkpoint.pth,0.19612815440893172,94.5825,0.2769958478927612,91.28,0.2858715287923813,90.9
CIFAR10,3,AWP,CMC,Any,1,500,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Any_1_N500/Run3_full_checkpoint_Resume.pth,0.1840266335964203,95.0975,0.2671783381462097,91.75,0.2770290850162506,91.03
CIFAR10,1,AWP,CMC,Correct,1,750,Model_init,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint.pth,0.19137944712638855,94.86,0.2808713817834854,91.22,0.28611710097789766,90.65
CIFAR10,1,AWP,CMC,Correct,1,750,Model_init_50,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint_50.pth,0.03438613942265511,99.4825,0.15095362304002047,94.86,0.1497127035856247,94.81
CIFAR10,1,AWP,CMC,Correct,1,750,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N750/Run1_full_checkpoint.pth,0.19093897778987884,94.9625,0.2783157331943512,90.67,0.2839094556808472,90.67
CIFAR10,1,AWP,CMC,Correct,1,750,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N750/Run1_full_checkpoint_Resume.pth,0.021482213987410067,99.8,0.15568123112916946,94.78,0.15030205128192903,94.71
CIFAR10,2,AWP,CMC,Correct,1,750,Model_init,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint.pth,0.19952823907136918,94.355,0.30727261657714844,89.95,0.29237793209552765,90.63
CIFAR10,2,AWP,CMC,Correct,1,750,Model_init_50,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint_50.pth,0.038125572061538694,99.36,0.16627510871887208,94.5,0.1567151975631714,94.66
CIFAR10,2,AWP,CMC,Correct,1,750,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N750/Run2_full_checkpoint.pth,0.2043528002977371,94.1825,0.30931713809967043,89.87,0.2971671229600906,90.43
CIFAR10,2,AWP,CMC,Correct,1,750,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N750/Run2_full_checkpoint_Resume.pth,0.1966002025127411,94.4375,0.301881866645813,89.86,0.29224174275398257,90.32
CIFAR10,3,AWP,CMC,Correct,1,750,Model_init,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint.pth,0.19454708421230316,94.61,0.2738680662155151,91.52,0.29212464628219603,90.48
